,City,Country,Latitude,Longitude,Date,Max Temperature,Humidity Percent,Cloudiness,Wind Speed
0,New Norfolk,AU,-42.78,147.06,1546909200,71.6,46.0,75.0,12.75
1,Sinnai,IT,39.3,9.2,1546910400,53.6,93.0,80.0,4.7
2,Fortuna,ES,38.18,-1.13,1546909200,48.2,87.0,0.0,6.93
3,La Ronge,CA,55.1,-105.3,1546909200,6.8,84.0,90.0,16.11
4,Vaini,IN,15.34,74.49,1546905600,60.8,67.0,0.0,4.7
5,Bay Roberts,CA,47.58,-53.28,1546909200,24.8,73.0,90.0,20.8
6,Khatanga,RU,71.98,102.47,1546910938,-17.45,75.0,36.0,12.68
7,Port Hedland,AU,-20.31,118.58,1546909200,93.2,67.0,0.0,10.29
8,Paramonga,PE,-10.68,-77.82,1546910939,71.03,100.0,0.0,7.76
9,Puerto Ayora,EC,-0.74,-90.35,1546905600,80.6,65.0,20.0,18.34
10,Port-Cartier,CA,50.03,-66.88,1546909200,-2.21,49.0,5.0,15.26
11,Det Udom,TH,14.9,105.08,1546909200,73.4,78.0,0.0,5.82
12,Havoysund,NO,71.0,24.66,1546908600,30.2,92.0,75.0,11.41
13,Coahuayana,MX,18.62,-100.35,1546910940,78.45,42.0,0.0,2.06
14,Chokurdakh,RU,70.62,147.9,1546910683,-31.26,53.0,32.0,2.95
15,Barrow,AR,-38.31,-60.23,1546910941,75.21,44.0,0.0,4.52
16,George,NG,6.63,3.35,1546909200,77.0,94.0,0.0,7.76
17,Ushuaia,AR,-54.81,-68.31,1546909200,42.8,87.0,90.0,4.7
18,Yele,CM,10.73,13.59,1546910942,57.08,38.0,12.0,6.87
19,Westport,IE,53.8,-9.52,1546910689,45.65,97.0,76.0,8.55
20,Boyolangu,ID,-8.09,111.9,1546910942,73.86,94.0,32.0,3.96
21,Qaanaaq,GL,77.48,-69.36,1546910943,-12.32,96.0,8.0,11.68
22,Talnakh,RU,69.49,88.39,1546910710,1.19,69.0,48.0,3.62
23,Nizhniy Odes,RU,63.64,54.86,1546910943,18.02,83.0,92.0,6.76
24,Hilo,US,19.71,-155.08,1546908780,78.98,56.0,1.0,11.41
25,Rikitea,PF,-23.12,-134.97,1546910944,80.57,95.0,48.0,14.58
26,Butaritari,KI,3.07,172.79,1546910944,80.16,100.0,48.0,5.41
27,Lompoc,US,34.64,-120.46,1546908960,60.98,87.0,75.0,6.93
28,Aklavik,CA,68.22,-135.01,1546909200,-22.01,74.0,75.0,2.62
29,East London,ZA,-33.02,27.91,1546910945,72.74,95.0,48.0,17.05
30,Mataura,NZ,-46.19,168.86,1546910668,64.86,59.0,48.0,16.49
31,Airai,TL,-8.93,125.41,1546910945,76.25,81.0,12.0,1.39
32,Mar del Plata,AR,-46.43,-67.52,1546910507,60.95,44.0,24.0,23.42
33,Vila do Maio,CV,15.13,-23.22,1546909200,69.8,28.0,0.0,8.05
34,Albany,US,42.65,-73.75,1546909020,21.92,39.0,90.0,4.7
35,Vanderhoof,CA,54.02,-124.02,1546910946,14.19,62.0,0.0,3.18
36,Naze,NG,5.43,7.07,1546910693,72.6,72.0,0.0,3.51
37,Xining,CN,36.62,101.77,1546910947,4.11,85.0,68.0,2.39
38,Saravan,AM,39.72,45.65,1546909200,32.0,74.0,40.0,9.17
39,Hobart,AU,-42.88,147.33,1546909200,71.6,46.0,75.0,12.75
40,Mandiana,GN,10.62,-8.7,1546910948,64.82,38.0,12.0,5.86
41,Dikson,RU,73.51,80.55,1546910693,-4.13,100.0,56.0,15.93
42,Padang,ID,-0.92,100.36,1546909200,80.6,88.0,75.0,4.7
43,Busselton,AU,-33.64,115.35,1546910949,62.97,100.0,12.0,19.84
44,Methala,IN,10.22,76.22,1546909200,68.0,88.0,20.0,2.24
45,Ixtapa,MX,20.71,-105.21,1546908420,77.0,83.0,40.0,6.93
46,Yushala,RU,57.08,64.26,1546909200,1.4,84.0,0.0,13.42
47,Bluff,AU,-23.58,149.07,1546910950,79.49,66.0,80.0,12.68
48,Mahebourg,MU,-20.41,57.7,1546909200,80.6,83.0,40.0,14.99
49,Cape Town,ZA,-33.93,18.42,1546909200,64.4,82.0,0.0,14.99
50,Punta Arenas,CL,-53.16,-70.91,1546909200,48.2,70.0,75.0,9.17
51,Yatou,CM,3.63,9.81,1546905600,77.0,100.0,40.0,11.9
52,Razdolnaya,RU,45.38,39.56,1546909200,33.8,96.0,40.0,2.24
53,Seymchan,RU,62.93,152.39,1546910951,-21.23,59.0,76.0,3.4
54,Upernavik,GL,72.79,-56.15,1546910952,7.22,100.0,64.0,6.64
55,Formosa,AR,-26.19,-58.17,1546909200,71.6,94.0,90.0,9.17
56,Codrington,AU,-28.95,153.24,1546909200,80.6,61.0,75.0,10.29
57,Saskylakh,RU,71.97,114.09,1546910953,-39.5,0.0,12.0,10.33
58,Vanimo,PG,-2.67,141.3,1546910953,82.95,100.0,44.0,17.16
59,Lavrentiya,RU,65.58,-170.99,1546910484,0.56,95.0,0.0,24.87
60,Hermanus,ZA,-34.42,19.24,1546910954,57.08,96.0,56.0,3.51
61,Coquimbo,CL,-29.95,-71.34,1546909200,62.6,82.0,90.0,9.17
62,Jamestown,AU,-33.21,138.6,1546910955,74.76,65.0,0.0,5.41
63,Aksarka,RU,66.56,67.8,1546910955,-19.07,55.0,8.0,2.17
64,Lebu,ET,8.96,38.73,1546909200,48.2,42.0,0.0,4.7
65,Avarua,CK,-21.21,-159.78,1546909200,80.6,61.0,75.0,10.29
66,Yulara,AU,-25.24,130.99,1546909200,91.4,9.0,0.0,10.29
67,Port Elizabeth,US,39.31,-74.98,1546908900,35.06,74.0,1.0,3.36
68,Plouzane,FR,48.38,-4.62,1546909200,50.0,81.0,90.0,6.93
69,Makakilo City,US,21.35,-158.09,1546909020,82.04,47.0,20.0,9.17
70,Tarnobrzeg,PL,50.57,21.68,1546909200,3.2,84.0,90.0,2.24
71,Mayumba,GA,-3.44,10.65,1546910957,78.54,100.0,88.0,4.18
72,Guerrero Negro,MX,27.97,-114.04,1546910737,68.15,55.0,12.0,2.84
73,Salta,AR,-24.79,-65.41,1546909200,73.4,73.0,75.0,2.17
74,Kipini,KE,-2.53,40.53,1546908960,78.8,93.0,75.0,14.25
75,Zhezkazgan,KZ,47.8,67.71,1546909200,10.4,85.0,90.0,8.95
76,Santa Isabel,CO,4.71,-75.1,1546909200,71.6,100.0,75.0,2.24
77,Bubaque,GW,11.28,-15.83,1546910959,78.36,99.0,88.0,8.21
78,Vao,EE,59.1,26.19,1546910454,30.62,98.0,80.0,5.64
79,Carnarvon,ZA,-30.97,22.13,1546910959,69.95,19.0,64.0,8.43
80,Bethel,US,60.79,-161.76,1546909500,6.98,86.0,90.0,12.75
81,Hamilton,BM,32.3,-64.78,1546908900,60.8,55.0,75.0,18.34
82,Kodiak,US,39.95,-94.76,1546908900,48.2,76.0,1.0,8.05
83,Kapaa,US,22.08,-159.32,1546908960,80.06,62.0,1.0,14.99
84,Leningradskiy,RU,69.38,178.42,1546910961,-8.36,82.0,0.0,21.52
85,Jalu,LY,29.03,21.55,1546910766,42.54,90.0,32.0,3.18
86,Sembakung,ID,3.82,117.25,1546905600,78.8,88.0,75.0,4.7
87,Sarkand,KZ,45.41,79.91,1546910962,-10.29,16.0,0.0,2.84
88,Vestmannaeyjar,IS,63.44,-20.27,1546910399,36.47,100.0,0.0,7.54
89,Namibe,AO,-15.19,12.15,1546910962,72.6,100.0,8.0,7.65
90,Wageningen,NL,51.98,5.66,1546908900,46.4,87.0,20.0,11.41
91,Makokou,GA,0.56,12.85,1546910963,71.07,97.0,12.0,2.17
92,Verkhnevilyuysk,RU,63.45,120.31,1546910963,-13.08,60.0,56.0,2.73
93,Muros,ES,42.77,-9.06,1546909200,39.2,86.0,0.0,2.24
94,Torbay,CA,47.66,-52.73,1546909200,24.8,73.0,90.0,20.8
95,Ubatuba,BR,-23.43,-45.08,1546905600,73.4,73.0,0.0,6.93
96,Ahipara,NZ,-35.17,173.16,1546910672,76.34,67.0,36.0,6.87
97,Hovd,NO,63.83,10.7,1546908600,35.6,80.0,75.0,9.17
98,Havelian,PK,34.05,73.15,1546909200,44.6,87.0,88.0,2.95
99,Bara,NG,10.41,10.6,1546910965,65.72,29.0,0.0,10.78
100,Vardo,US,39.62,-77.74,1546910100,35.6,56.0,1.0,9.17
101,Tezu,IN,27.93,96.16,1546910966,50.19,58.0,8.0,1.83
102,Bandiagara,ML,14.35,-3.61,1546905600,69.8,30.0,0.0,9.22
103,Georgetown,GY,6.8,-58.16,1546909200,80.6,78.0,75.0,13.87
104,Aksu,KZ,52.04,76.93,1546909200,-0.41,91.0,0.0,2.24
105,Nanortalik,GL,60.14,-45.24,1546910967,34.58,90.0,92.0,28.68
106,Tilichiki,RU,60.47,166.1,1546910967,28.28,86.0,68.0,13.24
107,Norman Wells,CA,65.28,-126.83,1546909200,-31.01,73.0,75.0,2.24
108,Sibolga,ID,1.74,98.78,1546910428,68.6,98.0,56.0,2.28
109,Dingle,PH,11.0,122.67,1546910968,76.7,82.0,44.0,17.27
110,Beni,CD,0.49,29.47,1546910968,60.45,96.0,0.0,3.4
111,Port Macquarie,AU,-31.43,152.91,1546909200,84.2,48.0,76.0,10.29
112,Shediac,CA,46.22,-64.55,1546909200,8.6,60.0,20.0,9.17
113,Millinocket,US,45.66,-68.71,1546908960,6.98,79.0,1.0,3.36
114,Bambous Virieux,MU,-20.34,57.76,1546909200,80.6,83.0,40.0,14.99
115,Stanesti,RO,43.92,25.83,1546907400,23.0,100.0,0.0,3.36
116,Tuktoyaktuk,CA,69.44,-133.03,1546909200,-20.21,75.0,75.0,5.82
117,Odienne,CI,9.51,-7.57,1546910970,64.41,52.0,8.0,2.73
118,Thompson,CA,55.74,-97.86,1546909200,15.8,85.0,90.0,10.29
119,Chuy,UY,-33.69,-53.46,1546910691,71.79,79.0,24.0,17.49
120,Tucuman,PE,-17.17,-70.89,1546910971,61.8,75.0,36.0,3.29
121,Selfoss,IS,63.94,-21.0,1546909200,33.8,80.0,40.0,4.7
122,Ribeira Grande,PT,38.52,-28.7,1546910971,64.59,93.0,36.0,24.99
123,Kaitangata,NZ,-46.28,169.85,1546910972,64.77,60.0,24.0,17.83
124,Huaihua,CN,27.56,109.96,1546910972,34.04,99.0,92.0,5.19
125,Nikolskoye,RU,59.7,30.79,1546909200,28.4,92.0,75.0,4.47
126,Santa Rosa,AR,-36.62,-64.29,1546910771,75.44,51.0,24.0,11.9
127,Los Llanos de Aridane,ES,28.66,-17.92,1546909200,62.6,51.0,36.0,10.29
128,Ugoofaaru,MV,5.67,73.0,1546910973,80.97,100.0,44.0,16.49
129,Victoria,BN,5.28,115.24,1546909200,84.2,74.0,75.0,6.93
130,Biak,ID,-0.91,122.88,1546910974,77.69,100.0,68.0,2.84
131,Grand Gaube,MU,-20.01,57.66,1546909200,80.6,83.0,40.0,14.99
132,Constitucion,MX,23.99,-104.67,1546908360,68.0,30.0,20.0,3.36
